  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00           33.98425926            0.00000000       10134.78852589           -0.01313134        10134.77539455 
  2.0000e-15           33.98425926            0.00000000       10134.78852587           -0.01313130        10134.77539457 
  4.0000e-15           33.98425926            0.00000000       10134.78852586           -0.01313129        10134.77539458 
  6.0000e-15           33.98425926            0.00000000       10134.78852586           -0.01313129        10134.77539458 
  8.0000e-15           33.98425926            0.00000000       10134.78852587           -0.01313130        10134.77539457 
  1.0000e-14           33.98425926            0.00000000       10134.78852588           -0.01313133        10134.77539455 
  1.2000e-14           33.98425926            0.00000000       10134.78852591           -0.01313138        10134.77539453 
  1.4000e-14           33.98425926            0.00000000       10134.78852594           -0.01313144        10134.77539450 
  1.6000e-14           33.98425926            0.00000000       10134.78852598           -0.01313152        10134.77539446 
  1.8000e-14           33.98425926            0.00000000       10134.78852602           -0.01313161        10134.77539441 
  2.0000e-14           33.98425926            0.00000000       10134.78852608           -0.01313172        10134.77539436 
  2.2000e-14           33.98425926            0.00000000       10134.78852614           -0.01313185        10134.77539430 
  2.4000e-14           33.98425926            0.00000000       10134.78852621           -0.01313199        10134.77539423 
  2.6000e-14           33.98425926            0.00000000       10134.78852629           -0.01313214        10134.77539415 
  2.8000e-14           33.98425926            0.00000000       10134.78852638           -0.01313232        10134.77539406 
  3.0000e-14           33.98425926            0.00000000       10134.78852647           -0.01313251        10134.77539397 
  3.2000e-14           33.98425926            0.00000000       10134.78852657           -0.01313271        10134.77539386 
  3.4000e-14           33.98425926            0.00000000       10134.78852668           -0.01313293        10134.77539375 
  3.6000e-14           33.98425926            0.00000000       10134.78852680           -0.01313317        10134.77539364 
  3.8000e-14           33.98425926            0.00000000       10134.78852693           -0.01313342        10134.77539351 
  4.0000e-14           33.98425926            0.00000000       10134.78852706           -0.01313369        10134.77539338 
  4.2000e-14           33.98425926            0.00000000       10134.78852721           -0.01313397        10134.77539323 
  4.4000e-14           33.98425926            0.00000000       10134.78852736           -0.01313427        10134.77539308 
  4.6000e-14           33.98425926            0.00000000       10134.78852751           -0.01313459        10134.77539293 
  4.8000e-14           33.98425927            0.00000000       10134.78852768           -0.01313492        10134.77539276 
  5.0000e-14           33.98425927            0.00000000       10134.78852785           -0.01313527        10134.77539259 
  5.2000e-14           33.98425927            0.00000000       10134.78852803           -0.01313563        10134.77539240 
  5.4000e-14           33.98425927            0.00000000       10134.78852822           -0.01313601        10134.77539221 
  5.6000e-14           33.98425927            0.00000000       10134.78852842           -0.01313640        10134.77539202 
  5.8000e-14           33.98425927            0.00000000       10134.78852863           -0.01313682        10134.77539181 
  6.0000e-14           33.98425927            0.00000000       10134.78852884           -0.01313724        10134.77539160 
  6.2000e-14           33.98425927            0.00000000       10134.78852906           -0.01313768        10134.77539138 
  6.4000e-14           33.98425927            0.00000000       10134.78852929           -0.01313814        10134.77539115 
  6.6000e-14           33.98425927            0.00000000       10134.78852953           -0.01313862        10134.77539091 
  6.8000e-14           33.98425927            0.00000000       10134.78852977           -0.01313911        10134.77539066 
  7.0000e-14           33.98425927            0.00000000       10134.78853003           -0.01313962        10134.77539041 
  7.2000e-14           33.98425927            0.00000000       10134.78853029           -0.01314014        10134.77539015 
  7.4000e-14           33.98425927            0.00000000       10134.78853056           -0.01314068        10134.77538988 
  7.6000e-14           33.98425928            0.00000000       10134.78853083           -0.01314123        10134.77538960 
  7.8000e-14           33.98425928            0.00000000       10134.78853112           -0.01314180        10134.77538932 
  8.0000e-14           33.98425928            0.00000000       10134.78853141           -0.01314239        10134.77538903 
  8.2000e-14           33.98425928            0.00000000       10134.78853171           -0.01314299        10134.77538872 
  8.4000e-14           33.98425928            0.00000000       10134.78853202           -0.01314361        10134.77538842 
  8.6000e-14           33.98425928            0.00000000       10134.78853234           -0.01314424        10134.77538810 
  8.8000e-14           33.98425928            0.00000000       10134.78853267           -0.01314489        10134.77538777 
  9.0000e-14           33.98425928            0.00000000       10134.78853300           -0.01314556        10134.77538744 
  9.2000e-14           33.98425928            0.00000000       10134.78853334           -0.01314624        10134.77538710 
  9.4000e-14           33.98425929            0.00000000       10134.78853369           -0.01314694        10134.77538675 
  9.6000e-14           33.98425929            0.00000000       10134.78853405           -0.01314765        10134.77538639 
  9.8000e-14           33.98425929            0.00000000       10134.78853441           -0.01314838        10134.77538603 
  1.0000e-13           33.98425929            0.00000000       10134.78853478           -0.01314913        10134.77538565 
  1.0200e-13           33.98425929            0.00000000       10134.78853517           -0.01314989        10134.77538527 
  1.0400e-13           33.98425929            0.00000000       10134.78853555           -0.01315067        10134.77538488 
  1.0600e-13           33.98425929            0.00000000       10134.78853595           -0.01315146        10134.77538449 
  1.0800e-13           33.98425929            0.00000000       10134.78853636           -0.01315227        10134.77538408 
  1.1000e-13           33.98425930            0.00000000       10134.78853677           -0.01315310        10134.77538367 
  1.1200e-13           33.98425930            0.00000000       10134.78853719           -0.01315394        10134.77538325 
  1.1400e-13           33.98425930            0.00000000       10134.78853762           -0.01315480        10134.77538282 
  1.1600e-13           33.98425930            0.00000000       10134.78853806           -0.01315568        10134.77538238 
  1.1800e-13           33.98425930            0.00000000       10134.78853850           -0.01315657        10134.77538194 
  1.2000e-13           33.98425930            0.00000000       10134.78853896           -0.01315747        10134.77538148 
  1.2200e-13           33.98425930            0.00000000       10134.78853942           -0.01315840        10134.77538102 
  1.2400e-13           33.98425931            0.00000000       10134.78853989           -0.01315934        10134.77538055 
  1.2600e-13           33.98425931            0.00000000       10134.78854036           -0.01316029        10134.77538007 
  1.2800e-13           33.98425931            0.00000000       10134.78854085           -0.01316126        10134.77537959 
  1.3000e-13           33.98425931            0.00000000       10134.7
