  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00   100             0        2283       -10585         -8303 
  5.0000e-15   100             0        2274       -10576         -8303 
  1.0000e-14    99             0        2259       -10562         -8303 
  1.5000e-14    98             0        2238       -10541         -8303 
  2.0000e-14    97             0        2211       -10514         -8303 
  2.5000e-14    96             0        2179       -10481         -8303 
  3.0000e-14    94             0        2141       -10443         -8303 
  3.5000e-14    92             0        2098       -10400         -8303 
  4.0000e-14    90             0        2049       -10352         -8303 
  4.5000e-14    88             0        1996       -10299         -8302 
  5.0000e-14    85             0        1939       -10241         -8302 
  5.5000e-14    82             0        1878       -10180         -8302 
  6.0000e-14    80             0        1814       -10116         -8302 
  6.5000e-14    77             0        1747       -10050         -8302 
  7.0000e-14    74             0        1680        -9982         -8302 
  7.5000e-14    71             0        1612        -9914         -8302 
  8.0000e-14    68             0        1545        -9847         -8302 
  8.5000e-14    65             0        1480        -9782         -8302 
  9.0000e-14    62             0        1418        -9720         -8302 
  9.5000e-14    60             0        1360        -9662         -8302 
  1.0000e-13    57             0        1307        -9609         -8302 
  1.0500e-13    55             0        1260        -9562         -8302 
  1.1000e-13    54             0        1220        -9522         -8302 
  1.1500e-13    52             0        1188        -9490         -8302 
  1.2000e-13    51             0        1163        -9465         -8302 
  1.2500e-13    50             0        1145        -9447         -8302 
  1.3000e-13    50             0        1135        -9437         -8302 
  1.3500e-13    50             0        1133        -9435         -8302 
  1.4000e-13    50             0        1137        -9439         -8302 
  1.4500e-13    50             0        1147        -9449         -8302 
  1.5000e-13    51             0        1162        -9464         -8302 
  1.5500e-13    52             0        1182        -9484         -8302 
  1.6000e-13    53             0        1206        -9508         -8302 
  1.6500e-13    54             0        1232        -9535         -8302 
  1.7000e-13    55             0        1261        -9564         -8302 
  1.7500e-13    57             0        1292        -9594         -8302 
  1.8000e-13    58             0        1323        -9625         -8302 
  1.8500e-13    59             0        1354        -9656         -8302 
  1.9000e-13    61             0        1385        -9687         -8302 
  1.9500e-13    62             0        1415        -9717         -8302 
  2.0000e-13    63             0        1444        -9746         -8302 
  2.0500e-13    65             0        1471        -9774         -8302 
  2.1000e-13    66             0        1497        -9800         -8302 
  2.1500e-13    67             0        1521        -9824         -8302 
  2.2000e-13    68             0        1543        -9846         -8302 
  2.2500e-13    69             0        1564        -9866         -8302 
  2.3000e-13    69             0        1582        -9885         -8302 
  2.3500e-13    70             0        1599        -9902         -8302 
  2.4000e-13    71             0        1615        -9917         -8302 
  2.4500e-13    71             0        1629        -9931         -8302 
  2.5000e-13    72             0        1642        -9945         -8302 
  2.5500e-13    73             0        1654        -9957         -8302 
  2.6000e-13    73             0        1666        -9968         -8302 
  2.6500e-13    74             0        1676        -9978         -8302 
  2.7000e-13    74             0        1686        -9988         -8302 
  2.7500e-13    74             0        1696        -9998         -8302 
  2.8000e-13    75             0        1705       -10007         -8302 
  2.8500e-13    75             0        1714       -10016         -8302 
  2.9000e-13    76             0        1723       -10025         -8302 
  2.9500e-13    76             0        1732       -10034         -8302 
  3.0000e-13    76             0        1741       -10043         -8302 
  3.0500e-13    77             0        1749       -10052         -8302 
  3.1000e-13    77             0        1758       -10061         -8302 
  3.1500e-13    78             0        1767       -10070         -8302 
  3.2000e-13    78             0        1777       -10079         -8302 
  3.2500e-13    78             0        1787       -10089         -8302 
  3.3000e-13    79             0        1797       -10099         -8302 
  3.3500e-13    79             0        1807       -10109         -8302 
  3.4000e-13    80             0        1818       -10120         -8302 
  3.4500e-13    80             0        1830       -10132         -8302 
  3.5000e-13    81             0        1842       -10144         -8302 
  3.5500e-13    81             0        1854       -10156         -8302 
  3.6000e-13    82             0        1867       -10169         -8302 
  3.6500e-13    82             0        1881       -10183         -8302 
  3.7000e-13    83             0        1894       -10197         -8302 
  3.7500e-13    84             0        1909       -10211         -8302 
  3.8000e-13    84             0        1924       -10226         -8302 
  3.8500e-13    85             0        1939       -10241         -8302 
