  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  5.0000e-15           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.0000e-14           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.5000e-14           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  2.0000e-14           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  2.5000e-14           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  3.0000e-14           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  3.5000e-14           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  4.0000e-14           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  4.5000e-14           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  5.0000e-14           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  5.5000e-14           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  6.0000e-14           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  6.5000e-14           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  7.0000e-14           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  7.5000e-14           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  8.0000e-14           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  8.5000e-14           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  9.0000e-14           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  9.5000e-14           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.0000e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.0500e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.1000e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.1500e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.2000e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.2500e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.3000e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.3500e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.4000e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.4500e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.5000e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.5500e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.6000e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.6500e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.7000e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.7500e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.8000e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.8500e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.9000e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  1.9500e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  2.0000e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  2.0500e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  2.1000e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  2.1500e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  2.2000e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  2.2500e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  2.3000e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  2.3500e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
  2.4000e-13           99.98000000            0.00000000           0.00000000            0.00000000            0.00000000 
