  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  2.5500e-13    93             0        2121       -10540         -8419 
  7.5500e-13    93             0        2121       -10539         -8418 
  0.0000e+00    93             0        2121       -10524         -8403 
  5.0500e-13    93             0        2121       -10523         -8402 
  2.6000e-13    79             0        1809       -10407         -8598 
  7.6000e-13    79             0        1809       -10400         -8591 
  5.0000e-15    79             0        1809       -10368         -8559 
  5.1000e-13    79             0        1809       -10367         -8558 
  2.6500e-13    71             0        1622       -10229         -8607 
  7.6500e-13    67             0        1538       -10205         -8668 
  1.0000e-14    66             0        1511       -10138         -8627 
  5.1500e-13    66             0        1511       -10130         -8619 
  2.7000e-13    62             0        1406       -10031         -8625 
  7.7000e-13    62             0        1406       -10004         -8597 
  1.5000e-14    57             0        1300        -9939         -8639 
  5.2000e-13    57             0        1300        -9937         -8637 
  2.7500e-13    53             0        1215        -9857         -8642 
  7.7500e-13    53             0        1215        -9847         -8632 
  2.0000e-14    50             0        1142        -9793         -8652 
  5.2500e-13    50             0        1142        -9793         -8651 
  2.8000e-13    48             0        1104        -9752         -8648 
  7.8000e-13    48             0        1104        -9750         -8646 
  2.5000e-14    48             0        1084        -9728         -8644 
  5.3000e-13    48             0        1084        -9728         -8644 
  2.8500e-13    48             0        1092        -9731         -8639 
  7.8500e-13    48             0        1092        -9733         -8642 
  3.0000e-14    49             0        1117        -9744         -8627 
  5.3500e-13    49             0        1117        -9745         -8628 
  2.9000e-13    51             0        1153        -9779         -8626 
  7.9000e-13    51             0        1153        -9782         -8629 
  3.5000e-14    53             0        1199        -9813         -8614 
  5.4000e-13    53             0        1199        -9817         -8618 
  2.9500e-13    55             0        1250        -9860         -8610 
  7.9500e-13    55             0        1250        -9860         -8610 
  4.0000e-14    57             0        1300        -9901         -8601 
  5.4500e-13    57             0        1300        -9907         -8607 
  8.0000e-13    59             0        1351        -9946         -8594 
  3.0000e-13    59             0        1351        -9946         -8594 
  4.5000e-14    61             0        1391        -9983         -8592 
  5.5000e-13    61             0        1391        -9987         -8595 
  8.0500e-13    63             0        1436       -10016         -8579 
  3.0500e-13    63             0        1436       -10017         -8580 
  5.0000e-14    64             0        1469       -10048         -8578 
  5.5500e-13    64             0        1469       -10050         -8581 
  8.1000e-13    66             0        1498       -10071         -8574 
  3.1000e-13    66             0        1498       -10072         -8574 
  5.5000e-14    67             0        1523       -10096         -8573 
  5.6000e-13    67             0        1523       -10097         -8574 
  8.1500e-13    68             0        1544       -10114         -8569 
  3.1500e-13    68             0        1544       -10114         -8570 
  6.0000e-14    69             0        1565       -10134         -8569 
  5.6500e-13    69             0        1565       -10135         -8569 
  8.2000e-13    69             0        1584       -10149         -8566 
  3.2000e-13    69             0        1584       -10150         -8566 
  6.5000e-14    70             0        1602       -10168         -8565 
  5.7000e-13    70             0        1602       -10168         -8566 
  8.2500e-13    71             0        1621       -10183         -8562 
  3.2500e-13    71             0        1621       -10184         -8562 
  7.0000e-14    72             0        1643       -10202         -8559 
  5.7500e-13    72             0        1643       -10202         -8559 
  8.3000e-13    73             0        1665       -10220         -8555 
  3.3000e-13    73             0        1665       -10222         -8557 
  7.5000e-14    74             0        1692       -10242         -8550 
  5.8000e-13    74             0        1692       -10243         -8551 
  8.3500e-13    75             0        1720       -10265         -8545 
  3.3500e-13    75             0        1720       -10266         -8546 
  8.0000e-14    77             0        1752       -10290         -8537 
  5.8500e-13    77             0        1752       -10291         -8539 
  8.4000e-13    78             0        1789       -10317         -8528 
  3.4000e-13    78             0        1789       -10318         -8530 
  8.5000e-14    80             0        1826       -10346         -8520 
  5.9000e-13    80             0        1826       -10348         -8522 
  8.4500e-13    82             0        1867       -10376         -8509 
  3.4500e-13    82             0        1867       -10377         -8510 
  9.0000e-14    84             0        1908       -10408         -8500 
  5.9500e-13    84             0        1908       -10412         -8504 
  8.5000e-13    86             0        1951       -10440         -8488 
  3.5000e-13    86             0        1951       -10442         -8491 
  9.5000e-14    87             0        1992       -10473         -8481 
  6.0000e-13    87             0        1992       -10476         -8484 
  8.5500e-13    89             0        2032       -10504         -8472 
  3.5500e-13    89             0        2032       -10506         -8474 
  1.0000e-13    91             0        2067       -10536         -8469 
  6.0500e-13    91             0        2067       -10539         -8472 
  8.6000e-13    92             0        2100       -10564         -8463 
  3.6000e-13    92             0        2100       -10565         -8465 
  1.0500e-13    93             0        2132       -10592         -8460 
  6.1000e-13    93             0        2132       -10594         -8463 
  8.6500e-13    95             0        2160       -10617         -8457 
  3.6500e-13    95             0        2160       -10618         -8458 
  1.1000e-13    96             0        2185       -10641         -8456 
  6.1500e-13    96             0        2185       -10644         -8459 
