  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  2.5500e-13    99             0        2255            0          2255 
  5.0500e-13    97             0        2209            0          2209 
  7.5500e-13    96             0        2183            0          2183 
  0.0000e+00    96             0        2183            0          2183 
  2.6000e-13    94             0        2137            0          2137 
  5.1000e-13    84             0        1914            0          1914 
  7.6000e-13    84             0        1914            0          1914 
  5.0000e-15    84             0        1914            0          1914 
  2.6500e-13    80             0        1829            0          1829 
  5.1500e-13    76             0        1739            0          1739 
  1.0000e-14    72             0        1653            0          1653 
  7.6500e-13    68             0        1559            0          1559 
  2.7000e-13    68             0        1559            0          1559 
  5.2000e-13    64             0        1468            0          1468 
  1.5000e-14    62             0        1411            0          1411 
  2.7500e-13    56             0        1277            0          1277 
  7.7000e-13    56             0        1277            0          1277 
  5.2500e-13    54             0        1221            0          1221 
  2.0000e-14    53             0        1200            0          1200 
  2.8000e-13    50             0        1131            0          1131 
  7.7500e-13    50             0        1131            0          1131 
  5.3000e-13    49             0        1119            0          1119 
  2.5000e-14    49             0        1117            0          1117 
  2.8500e-13    50             0        1138            0          1138 
  7.8000e-13    50             0        1138            0          1138 
  5.3500e-13    52             0        1175            0          1175 
  3.0000e-14    52             0        1182            0          1182 
  2.9000e-13    53             0        1213            0          1213 
  7.8500e-13    55             0        1254            0          1254 
  5.4000e-13    56             0        1279            0          1279 
  3.5000e-14    56             0        1279            0          1279 
  2.9500e-13    58             0        1322            0          1322 
  7.9000e-13    59             0        1356            0          1356 
  5.4500e-13    60             0        1369            0          1369 
  4.0000e-14    61             0        1393            0          1393 
  3.0000e-13    62             0        1421            0          1421 
  7.9500e-13    63             0        1439            0          1439 
  5.5000e-13    64             0        1448            0          1448 
  4.5000e-14    64             0        1464            0          1464 
  3.0500e-13    66             0        1495            0          1495 
  8.0000e-13    66             0        1495            0          1495 
  5.5500e-13    66             0        1516            0          1516 
  5.0000e-14    67             0        1527            0          1527 
  3.1000e-13    68             0        1550            0          1550 
  8.0500e-13    68             0        1550            0          1550 
